name,year_opened,lat,lon,source,index_right,arrondissement_num,insee_code,arrondissement
Sully - Morland,1900,48.8513954,2.3618174,overpass,5,4,75104,4e — Hôtel-de-Ville
Pont Marie,1900,48.8537872,2.3565905,overpass,5,4,75104,4e — Hôtel-de-Ville
Place Monge,1900,48.8429053,2.3522772,overpass,6,5,75105,5e — Panthéon
Censier - Daubenton,1900,48.8406473,2.3519334,overpass,6,5,75105,5e — Panthéon
Les Gobelins,1900,48.8356304,2.3526735,overpass,16,13,75113,13e — Gobelins
Danube,1900,48.8818204,2.3942224,overpass,15,19,75119,19e — Buttes-Chaumont
Saint-Fargeau,1900,48.8715218,2.4043104,overpass,9,20,75120,20e — Ménilmontant
Pelleport,1900,48.8680997,2.4013152,overpass,9,20,75120,20e — Ménilmontant
Guy Môquet,1900,48.8927389,2.3273435,overpass,1,18,75118,18e — Buttes-Montmartre
Porte de Saint-Ouen,1900,48.8971558,2.3288425,overpass,1,18,75118,18e — Buttes-Montmartre
Tolbiac,1900,48.8260904,2.3573505,overpass,16,13,75113,13e — Gobelins
Maison Blanche,1900,48.8214836,2.3588859,overpass,16,13,75113,13e — Gobelins
Champs-Élysées - Clemenceau,1900,48.8674912,2.3140701,overpass,8,8,75108,8e — Élysée
Saint-Sulpice,1900,48.8511009,2.3307034,overpass,10,6,75106,6e — Luxembourg
Château Landon,1900,48.8789087,2.3624266,overpass,0,10,75110,10e — Entrepôt
Bir-Hakeim,1900,48.8538898,2.2893811,overpass,11,15,75115,15e — Vaugirard
Porte de Choisy,1900,48.8201241,2.3647858,overpass,16,13,75113,13e — Gobelins
Vaneau,1900,48.8491519,2.3218529,overpass,17,7,75107,7e — Palais-Bourbon
Ternes,1900,48.8783132,2.2990737,overpass,12,17,75117,17e — Batignolles
Avron,1900,48.851501,2.3982195,overpass,3,11,75111,11e — Popincourt
Marcadet - Poissonniers,1900,48.8914837,2.3497296,overpass,1,18,75118,18e — Buttes-Montmartre
Sèvres-Lecourbe,1900,48.8456163,2.3095848,overpass,11,15,75115,15e — Vaugirard
Porte de Clignancourt,1900,48.8973976,2.3448521,overpass,1,18,75118,18e — Buttes-Montmartre
Europe,1900,48.8787706,2.3222823,overpass,8,8,75108,8e — Élysée
Botzaris,1900,48.879514,2.3885871,overpass,15,19,75119,19e — Buttes-Chaumont
Jaurès,1900,48.8825949,2.3703263,overpass,15,19,75119,19e — Buttes-Chaumont
Porte de Vanves,1900,48.827676,2.3054796,overpass,4,14,75114,14e — Observatoire
Place des Fêtes,1900,48.8768713,2.3932057,overpass,15,19,75119,19e — Buttes-Chaumont
Stalingrad,1900,48.8851627,2.3702373,overpass,15,19,75119,19e — Buttes-Chaumont
Porte de Montreuil,1900,48.8535352,2.4106565,overpass,9,20,75120,20e — Ménilmontant
Porte Maillot,1900,48.8777372,2.2827016,overpass,12,17,75117,17e — Batignolles
République,1900,48.8676215,2.3637014,overpass,0,10,75110,10e — Entrepôt
Anvers,1900,48.8828803,2.3442565,overpass,2,9,75109,9e — Opéra
La Chapelle,1900,48.8844068,2.3603057,overpass,0,10,75110,10e — Entrepôt
Quai de la Rapée,1900,48.8464813,2.3659024,overpass,13,12,75112,12e — Reuilly
Sentier,1900,48.8677209,2.3457562,overpass,7,2,75102,2e — Bourse
Gare d'Austerlitz,1900,48.8424013,2.3649897,overpass,16,13,75113,13e — Gobelins
Saint-Lazare,1903,48.8754153,2.3253531,overpass,8,8,75108,8e — Élysée
Victor Hugo,1931,48.8699395,2.2860712,overpass,14,16,75116,16e — Passy
Concorde,1900,48.8662052,2.3223767,overpass,8,8,75108,8e — Élysée
Invalides,1900,48.8601723,2.314497,overpass,17,7,75107,7e — Palais-Bourbon
Trocadéro,1900,48.863045,2.2871938,overpass,14,16,75116,16e — Passy
Pigalle,1900,48.8822982,2.3380899,overpass,1,18,75118,18e — Buttes-Montmartre
Château Rouge,1900,48.8872884,2.3495532,overpass,1,18,75118,18e — Buttes-Montmartre
Jussieu,1900,48.8459626,2.354801,overpass,6,5,75105,5e — Panthéon
Charles de Gaulle — Étoile,1900,48.8744088,2.295508,overpass,8,8,75108,8e — Élysée
Denfert-Rochereau,1900,48.8342649,2.3326427,overpass,4,14,75114,14e — Observatoire
Palais Royal - Musée du Louvre,1900,48.8624906,2.3360431,overpass,18,1,75101,1er — Louvre
Montparnasse-Bienvenüe,1900,48.8439336,2.3241027,overpass,10,6,75106,6e — Luxembourg
Bastille,1900,48.852987,2.3688579,overpass,5,4,75104,4e — Hôtel-de-Ville
Hôtel de Ville,1900,48.8575406,2.3515397,overpass,5,4,75104,4e — Hôtel-de-Ville
Strasbourg - Saint-Denis,1900,48.8693002,2.3542855,overpass,19,3,75103,3e — Temple
Barbès - Rochechouart,1900,48.8837466,2.3496958,overpass,1,18,75118,18e — Buttes-Montmartre
Porte des Lilas,1900,48.8769658,2.4064184,overpass,9,20,75120,20e — Ménilmontant
Louis Blanc,1900,48.8813308,2.3653555,overpass,0,10,75110,10e — Entrepôt
Bibliothèque François Mitterrand,1900,48.8300059,2.3768474,overpass,16,13,75113,13e — Gobelins
Gare de Lyon,1900,48.8451709,2.3725553,overpass,13,12,75112,12e — Reuilly
Gare du Nord (Métro),1907,48.8795666,2.3572124,overpass,0,10,75110,10e — Entrepôt
Pont Neuf,1900,48.8585776,2.3422202,overpass,18,1,75101,1er — Louvre
Les Halles,1977,48.8624547,2.3460596,overpass,18,1,75101,1er — Louvre
Réaumur - Sébastopol,1900,48.8662481,2.3526084,overpass,19,3,75103,3e — Temple
Étienne Marcel,1900,48.8638718,2.3490301,overpass,7,2,75102,2e — Bourse
Château d'Eau,1900,48.8728888,2.3563528,overpass,0,10,75110,10e — Entrepôt
Chaussée d'Antin - La Fayette,1900,48.8730441,2.3332127,overpass,2,9,75109,9e — Opéra
Le Peletier,1900,48.8748996,2.3402328,overpass,2,9,75109,9e — Opéra
Cadet,1900,48.8760078,2.3444767,overpass,2,9,75109,9e — Opéra
Poissonnière,1900,48.8771197,2.3487446,overpass,2,9,75109,9e — Opéra
Pyramides,1900,48.8657452,2.3344687,overpass,18,1,75101,1er — Louvre
Porte d'Ivry,1900,48.8216035,2.3693411,overpass,16,13,75113,13e — Gobelins
Gambetta,1900,48.8649327,2.3980541,overpass,9,20,75120,20e — Ménilmontant
Argentine,1900,48.8753357,2.2901322,overpass,14,16,75116,16e — Passy
Courcelles,1900,48.8794066,2.3043565,overpass,8,8,75108,8e — Élysée
Porte de Bagnolet,1900,48.8646027,2.407183,overpass,9,20,75120,20e — Ménilmontant
Edgar Quinet,1900,48.84111,2.3250699,overpass,4,14,75114,14e — Observatoire
Olympiades,1900,48.8270448,2.3664175,overpass,16,13,75113,13e — Gobelins
Porte de Pantin,1900,48.8886574,2.3926771,overpass,15,19,75119,19e — Buttes-Chaumont
Laumière,1900,48.8851647,2.3794369,overpass,15,19,75119,19e — Buttes-Chaumont
Ourcq,1900,48.8870772,2.38664,overpass,15,19,75119,19e — Buttes-Chaumont
Porte de Versailles,1900,48.8324338,2.2879537,overpass,11,15,75115,15e — Vaugirard
Rue du Bac,1900,48.8551812,2.3257736,overpass,17,7,75107,7e — Palais-Bourbon
Porte de Clichy,1900,48.8944737,2.3134274,overpass,12,17,75117,17e — Batignolles
Pont Cardinet,2020,48.8895133,2.3153423,overpass,12,17,75117,17e — Batignolles
Richelieu - Drouot,1900,48.8719671,2.3392504,overpass,2,9,75109,9e — Opéra
Boissière,1900,48.8670421,2.2900911,overpass,14,16,75116,16e — Passy
Raspail,1900,48.8389219,2.3307369,overpass,4,14,75114,14e — Observatoire
Daumesnil,1900,48.8395922,2.3962319,overpass,13,12,75112,12e — Reuilly
Corvisart,1900,48.8298024,2.3504805,overpass,16,13,75113,13e — Gobelins
Saint-François-Xavier,1900,48.8514517,2.3144205,overpass,17,7,75107,7e — Palais-Bourbon
Varenne,1900,48.856226,2.314965,overpass,17,7,75107,7e — Palais-Bourbon
Porte de Clichy,2021,48.8948169,2.3132665,overpass,12,17,75117,17e — Batignolles
Pré Saint-Gervais,1900,48.8802778,2.3988805,overpass,15,19,75119,19e — Buttes-Chaumont
Reuilly — Diderot,1900,48.8473574,2.3867982,overpass,13,12,75112,12e — Reuilly
Porte de Vincennes,1900,48.8473449,2.4080897,overpass,9,20,75120,20e — Ménilmontant
Michel-Ange - Auteuil,1900,48.8480025,2.2641679,overpass,14,16,75116,16e — Passy
Odéon,1900,48.8523043,2.3393706,overpass,10,6,75106,6e — Luxembourg
Liège,1900,48.8796039,2.3270446,overpass,2,9,75109,9e — Opéra
Campo-Formio,1900,48.8351162,2.3582026,overpass,16,13,75113,13e — Gobelins
Rambuteau,1900,48.8617648,2.3537854,overpass,19,3,75103,3e — Temple
Pernety,1900,48.8339998,2.3181806,overpass,4,14,75114,14e — Observatoire
Plaisance,1900,48.8317665,2.3140421,overpass,4,14,75114,14e — Observatoire
Gaîté,1900,48.8386383,2.3225137,overpass,4,14,75114,14e — Observatoire
Télégraphe,1900,48.8754961,2.3989653,overpass,15,19,75119,19e — Buttes-Chaumont
Temple,1900,48.8664946,2.3607078,overpass,19,3,75103,3e — Temple
Cour Saint-Émilion,1900,48.8335432,2.3859654,overpass,13,12,75112,12e — Reuilly
George V,1900,48.872076,2.3004214,overpass,8,8,75108,8e — Élysée
Louvre - Rivoli,1900,48.860809,2.3411316,overpass,18,1,75101,1er — Louvre
Porte d'Italie,1900,48.819054,2.3594056,overpass,16,13,75113,13e — Gobelins
Saint-Marcel,1900,48.8382809,2.3608339,overpass,16,13,75113,13e — Gobelins
Richard Lenoir,1900,48.860218,2.3720497,overpass,3,11,75111,11e — Popincourt
Bréguet-Sabin,1900,48.8566358,2.3704159,overpass,3,11,75111,11e — Popincourt
Ménilmontant,1900,48.8667039,2.3833464,overpass,9,20,75120,20e — Ménilmontant
Couronnes,1900,48.8690533,2.3804541,overpass,3,11,75111,11e — Popincourt
Colonel Fabien,1900,48.8774137,2.3710017,overpass,15,19,75119,19e — Buttes-Chaumont
Philippe Auguste,1900,48.8582443,2.3901626,overpass,3,11,75111,11e — Popincourt
